spatial_dimension,total_dimension,num_sources,alpha_0,alpha_1,gamma,M,T,grid_sizes,time_window_size,variant,has_commits,agent_commit_count,commit_rate,first_commit_time,last_commit_time,final_psi,max_salience,source_emission_counts
3,4,2,2.0,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,46512,93.024,6.909999999999897,499.99999999969026,160.85581832881408,160.85581832881408,"[50000, 50000]"
3,4,4,2.0,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,18024,90.12,5.0599999999999365,199.99999999996308,99.54616170958718,99.54616170958718,"[20000, 20000, 20000, 20000]"
3,4,4,2.0,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,48024,96.048,5.0599999999999365,499.99999999969026,642.0965093402867,642.0965093402867,"[50000, 50000, 50000, 50000]"
3,4,4,2.0,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,18024,90.12,5.0599999999999365,199.99999999996308,100.00095513619905,100.00095513619905,"[20000, 20000, 20000, 20000]"
3,4,4,2.0,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,48024,96.048,5.0599999999999365,499.99999999969026,643.3370474199951,643.3370474199951,"[50000, 50000, 50000, 50000]"
3,4,1,2.0,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,10689,53.445,10.469999999999821,199.99999999996308,2.7736740018850514,2.7736740018850514,[20000]
3,4,1,2.0,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,40689,81.378,10.469999999999821,499.99999999969026,18.134379296158695,18.134379296158695,[50000]
3,4,1,2.0,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,10689,53.445,10.469999999999821,199.99999999996308,2.7736740018850514,2.7736740018850514,[20000]
3,4,1,2.0,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,40689,81.378,10.469999999999821,499.99999999969026,18.134379296158695,18.134379296158695,[50000]
3,4,2,2.0,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,15177,75.885,7.419999999999886,199.99999999996308,11.138141205290987,11.138141205290987,"[20000, 20000]"
3,4,2,2.0,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,45177,90.354,7.419999999999886,499.99999999969026,72.36809327870246,72.36809327870246,"[50000, 50000]"
3,4,2,2.0,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,15176,75.88,7.419999999999886,199.99999999996308,11.184540095857544,11.184540095857544,"[20000, 20000]"
3,4,2,2.0,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,45176,90.352,7.419999999999886,499.99999999969026,72.99916636129885,72.99916636129885,"[50000, 50000]"
3,4,4,2.0,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,17424,87.12,5.339999999999931,199.99999999996308,44.490256633581666,44.490256633581666,"[20000, 20000, 20000, 20000]"
3,4,4,2.0,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,47424,94.848,5.339999999999931,499.99999999969026,289.9267966577928,289.9267966577928,"[50000, 50000, 50000, 50000]"
3,4,4,2.0,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,17424,87.12,5.339999999999931,199.99999999996308,44.794352588218096,44.794352588218096,"[20000, 20000, 20000, 20000]"
3,4,4,2.0,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,47424,94.848,5.339999999999931,499.99999999969026,291.8815714229891,291.8815714229891,"[50000, 50000, 50000, 50000]"
