tick,planet_dist,velocity,star_radius,total_length,px,py,pz,planet_density
8500,13.7017,0.000000,7.5506,745558992006501277850895663094562816.00,5.5315,0.5976,14.0415,16.8258
8550,13.8977,0.000000,7.3017,1005947497058645064030851929523355648.00,5.5315,0.5976,14.0415,9.4214
8600,13.9251,0.000000,7.6213,1357277395501394408114122320282386432.00,5.5315,0.5976,14.0415,5.3178
8650,14.5812,0.086479,7.0965,1831310216259698149694141419271225344.00,1.8270,1.7398,15.9569,18.2438
8700,14.5175,0.000000,7.3802,2470900288594764919818798218031923200.00,1.8270,1.7398,15.9569,29.0165
8750,14.4251,0.000000,7.3047,3333868932799752711366109828495704064.00,1.8270,1.7398,15.9569,20.6024
8800,14.5936,0.000000,7.0919,4498231722498730793479617023953600512.00,1.8270,1.7398,15.9569,11.9659
8850,14.4825,0.000000,7.1480,6069251382558231605038802090290315264.00,1.8270,1.7398,15.9569,6.3283
8900,13.8251,0.086479,7.0659,8188953930722839094949998081496580096.00,5.5315,0.5976,14.0415,4.5735
8950,16.4023,0.063359,6.8332,11048968357657289097507307456078807040.00,4.9954,0.4384,17.1597,3.8994
9000,14.8996,0.048445,7.1345,14907850600079189762166319823070429184.00,5.8413,0.2887,14.8949,3.1612
9050,14.7702,0.095607,6.8012,20114457958716357370834256637477257216.00,1.8372,2.7191,15.8500,3.1177
9100,18.5324,0.304846,7.1587,27139487095174132854075220672227835904.00,10.2216,-9.7031,13.0716,3.0751
9150,14.2339,0.343537,7.0487,36618026760125376066259687092953022464.00,1.7316,5.1314,14.7745,3.6226
9200,15.5635,0.191629,7.3428,49406972177340854042319849464277237760.00,8.8540,-1.1916,13.7286,3.5302
9250,16.4433,0.112212,7.3506,66662491557713409456945591262218551296.00,9.6058,-6.7115,13.0619,22.2847
9300,16.7026,0.000000,7.6023,89944548003657344093042614215087489024.00,9.6058,-6.7115,13.0619,22.0822
9350,16.4100,0.000000,7.2644,121357925973228786667703892332842582016.00,9.6058,-6.7115,13.0619,14.2865
9400,16.8789,0.000000,7.7253,163742511619861417002437456145168728064.00,9.6058,-6.7115,13.0619,7.9726
9450,16.4374,0.000000,7.2647,220930029058786307989949178315817353216.00,9.6058,-6.7115,13.0619,4.1236
9500,16.6039,0.138249,7.2777,298090442471903831866375527329517535232.00,7.0386,-0.9560,15.9019,2.9753
9550,16.7652,0.055502,7.8075,402199340090701009581719585494503784448.00,4.9954,0.4384,17.1597,24.7793
9600,16.8846,0.000000,7.4115,542668553305007252442590775284670136320.00,4.9954,0.4384,17.1597,23.8314
9650,16.5176,0.000000,7.7711,732197021211817019487223334252490784768.00,4.9954,0.4384,17.1597,15.2974
9700,16.8008,0.000000,7.4686,987918821919745443637189497077868003328.00,4.9954,0.4384,17.1597,8.5057
9750,16.3852,0.000000,7.1591,1332952156910752240828412413296433430528.00,4.9954,0.4384,17.1597,4.3902
9800,16.3059,0.000000,7.4376,1798489322399553692334751548499799572480.00,4.9954,0.4384,17.1597,3.1560
9850,14.5670,0.082197,7.0249,2426616608877257037291715420270817705984.00,1.8372,2.7191,15.8500,2.1180
9900,13.1002,0.060194,6.9213,3274119058234397483644678082241071415296.00,3.5520,1.1865,13.9087,3.2383
9950,16.2778,0.091038,7.3907,4417614042661308988112178148493204914176.00,7.0386,-0.9560,15.9019,11.7654
10000,16.5064,0.000000,7.6790,5960477759932372355098015269080644190208.00,7.0386,-0.9560,15.9019,30.0404
