run_id,dimension,num_sources,geometry,phase_offset,alpha_0,gamma,M,T,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
489,5,2,clustered,1,1.6,0.001,1,200.0,True,17925,89.625,7.0799999999998935,4043.760416666666,4043.760416666666
490,5,2,clustered,1,1.8,0.001,1,200.0,True,18044,90.22,6.7499999999999005,5115.153645833332,5115.153645833332
491,5,2,clustered,1,2.0,0.001,1,200.0,True,18145,90.725,6.4699999999999065,6318.733940972221,6318.733940972221
492,5,2,clustered,1,2.2,0.001,1,200.0,True,18231,91.155,6.229999999999912,7628.459201388888,7628.459201388888
493,5,2,clustered,1,2.4,0.001,1,200.0,True,18307,91.535,6.009999999999916,9115.451388888887,9115.451388888887
494,5,2,clustered,1,2.6,0.001,1,200.0,True,18373,91.865,5.81999999999992,10670.440104166664,10670.440104166664
495,5,2,clustered,1,0.6,0.005,1,200.0,True,16630,83.15,10.51999999999982,8845.772569444443,8845.772569444443
496,5,2,clustered,1,0.8,0.005,1,200.0,True,17071,85.355,9.369999999999845,15605.119791666664,15605.119791666664
497,5,2,clustered,1,1.0,0.005,1,200.0,True,17375,86.875,8.569999999999862,24373.86458333333,24373.86458333333
498,5,2,clustered,1,1.2,0.005,1,200.0,True,17601,88.005,7.959999999999875,35383.090277777774,35383.090277777774
499,5,2,clustered,1,1.4,0.005,1,200.0,True,17777,88.885,7.479999999999885,47938.34722222221,47938.34722222221
500,5,2,clustered,1,1.6,0.005,1,200.0,True,17920,89.6,7.089999999999893,62420.47916666666,62420.47916666666
501,5,2,clustered,1,1.8,0.005,1,200.0,True,18039,90.195,6.7599999999999,79145.02083333331,79145.02083333331
502,5,2,clustered,1,2.0,0.005,1,200.0,True,18138,90.69,6.479999999999906,97495.45833333331,97495.45833333331
503,5,2,clustered,1,2.2,0.005,1,200.0,True,18225,91.125,6.239999999999911,117143.45833333331,117143.45833333331
504,5,2,clustered,1,2.4,0.005,1,200.0,True,18301,91.505,6.029999999999916,141532.3611111111,141532.3611111111
505,5,2,clustered,1,2.6,0.005,1,200.0,True,18367,91.835,5.82999999999992,164146.79166666663,164146.79166666663
506,5,2,clustered,1,0.6,0.001,1,500.0,True,46604,93.208,10.479999999999821,19672.079861111106,19672.079861111106
507,5,2,clustered,1,0.8,0.001,1,500.0,True,47061,94.122,9.339999999999845,34490.59722222222,34490.59722222222
508,5,2,clustered,1,1.0,0.001,1,500.0,True,47373,94.746,8.539999999999862,54312.357638888876,54312.357638888876
509,5,2,clustered,1,1.2,0.001,1,500.0,True,47602,95.204,7.939999999999875,78688.31944444442,78688.31944444442
510,5,2,clustered,1,1.4,0.001,1,500.0,True,47781,95.562,7.459999999999885,106933.4097222222,106933.4097222222
511,5,2,clustered,1,1.6,0.001,1,500.0,True,47925,95.85,7.0799999999998935,137962.38888888888,137962.38888888888
512,5,2,clustered,1,1.8,0.001,1,500.0,True,48044,96.088,6.7499999999999005,175137.74999999997,175137.74999999997
513,5,2,clustered,1,2.0,0.001,1,500.0,True,48145,96.29,6.4699999999999065,217249.4305555555,217249.4305555555
514,5,2,clustered,1,2.2,0.001,1,500.0,True,48231,96.462,6.229999999999912,264703.5833333333,264703.5833333333
515,5,2,clustered,1,2.4,0.001,1,500.0,True,48307,96.614,6.009999999999916,314753.2777777777,314753.2777777777
516,5,2,clustered,1,2.6,0.001,1,500.0,True,48373,96.746,5.81999999999992,368676.86111111107,368676.86111111107
517,5,2,clustered,1,0.6,0.005,1,500.0,True,46630,93.26,10.51999999999982,111111111.11111109,111111111.11111109
518,5,2,clustered,1,0.8,0.005,1,500.0,True,47071,94.142,9.369999999999845,111111111.11111109,111111111.11111109
519,5,2,clustered,1,1.0,0.005,1,500.0,True,47375,94.75,8.569999999999862,111111111.11111109,111111111.11111109
520,5,2,clustered,1,1.2,0.005,1,500.0,True,47601,95.202,7.959999999999875,111111111.11111109,111111111.11111109
521,5,2,clustered,1,1.4,0.005,1,500.0,True,47777,95.554,7.479999999999885,111111111.11111109,111111111.11111109
522,5,2,clustered,1,1.6,0.005,1,500.0,True,47920,95.84,7.089999999999893,111111111.11111109,111111111.11111109
523,5,2,clustered,1,1.8,0.005,1,500.0,True,48039,96.078,6.7599999999999,111111111.11111109,111111111.11111109
524,5,2,clustered,1,2.0,0.005,1,500.0,True,48138,96.276,6.479999999999906,111111111.11111109,111111111.11111109
525,5,2,clustered,1,2.2,0.005,1,500.0,True,48225,96.45,6.239999999999911,111111111.11111109,111111111.11111109
526,5,2,clustered,1,2.4,0.005,1,500.0,True,48301,96.602,6.029999999999916,111111111.11111109,111111111.11111109
527,5,2,clustered,1,2.6,0.005,1,500.0,True,48367,96.734,5.82999999999992,111111111.11111109,111111111.11111109
528,5,4,symmetric,0,0.6,0.001,1,100.0,True,7602,76.02,7.939999999999875,150.25486924913193,150.25486924913193
529,5,4,symmetric,0,0.8,0.001,1,100.0,True,7925,79.25,7.0799999999998935,267.4907769097222,267.4907769097222
