dimension,num_sources,geometry,phase_offset,alpha_0,gamma,M,T,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
4,4,symmetric,0,0.8,0.005,1,100.0,True,7873,78.73,7.2199999999998905,474.71015625,474.71015625
4,4,symmetric,0,1.0,0.005,1,100.0,True,8097,80.97,6.599999999999904,741.5419921875,741.5419921875
4,4,symmetric,0,1.2,0.005,1,100.0,True,8262,82.62,6.1399999999999135,1068.2424479166666,1068.2424479166666
4,4,symmetric,0,1.4,0.005,1,100.0,True,8391,83.91,5.769999999999921,1447.9018229166666,1447.9018229166666
4,4,symmetric,0,1.6,0.005,1,100.0,True,8495,84.95,5.469999999999928,1898.840625,1898.840625
4,4,symmetric,0,1.8,0.005,1,100.0,True,8582,85.82,5.209999999999933,2390.825,2390.825
4,4,symmetric,0,2.0,0.005,1,100.0,True,8654,86.54,4.999999999999938,2966.16796875,2966.16796875
4,4,symmetric,0,2.2,0.005,1,100.0,True,8717,87.17,4.809999999999942,3593.366145833333,3593.366145833333
4,4,symmetric,0,2.4,0.005,1,100.0,True,8772,87.72,4.649999999999945,4272.969791666666,4272.969791666666
4,4,symmetric,0,2.6,0.005,1,100.0,True,8820,88.2,4.4999999999999485,5012.938541666666,5012.938541666666
4,4,symmetric,0,0.6,0.001,1,200.0,True,17549,87.745,8.079999999999872,2081.4580729166664,2081.4580729166664
4,4,symmetric,0,0.8,0.001,1,200.0,True,17878,89.39,7.199999999999891,3712.6588541666665,3712.6588541666665
4,4,symmetric,0,1.0,0.001,1,200.0,True,18103,90.515,6.589999999999904,5765.409375,5765.409375
4,4,symmetric,0,1.2,0.001,1,200.0,True,18269,91.345,6.119999999999914,8325.832291666666,8325.832291666666
4,4,symmetric,0,1.4,0.001,1,200.0,True,18398,91.99,5.759999999999922,11373.23125,11373.23125
4,4,symmetric,0,1.6,0.001,1,200.0,True,18501,92.505,5.459999999999928,14850.635416666666,14850.635416666666
4,4,symmetric,0,1.8,0.001,1,200.0,True,18588,92.94,5.199999999999934,18724.941666666666,18724.941666666666
4,4,symmetric,0,2.0,0.001,1,200.0,True,18660,93.3,4.989999999999938,23061.6375,23061.6375
4,4,symmetric,0,2.2,0.001,1,200.0,True,18722,93.61,4.799999999999942,28023.179166666665,28023.179166666665
4,4,symmetric,0,2.4,0.001,1,200.0,True,18777,93.885,4.6399999999999455,33303.32916666666,33303.32916666666
4,4,symmetric,0,2.6,0.001,1,200.0,True,18826,94.13,4.489999999999949,39157.925,39157.925
4,4,symmetric,0,0.6,0.005,1,200.0,True,17548,87.74,8.109999999999872,32189.8625,32189.8625
4,4,symmetric,0,0.8,0.005,1,200.0,True,17873,89.365,7.2199999999998905,57074.5,57074.5
4,4,symmetric,0,1.0,0.005,1,200.0,True,18097,90.485,6.599999999999904,88911.79166666667,88911.79166666667
4,4,symmetric,0,1.2,0.005,1,200.0,True,18262,91.31,6.1399999999999135,128759.45,128759.45
4,4,symmetric,0,1.4,0.005,1,200.0,True,18391,91.955,5.769999999999921,175160.73333333334,175160.73333333334
4,4,symmetric,0,1.6,0.005,1,200.0,True,18495,92.475,5.469999999999928,228298.0,228298.0
4,4,symmetric,0,1.8,0.005,1,200.0,True,18582,92.91,5.209999999999933,288426.06666666665,288426.06666666665
4,4,symmetric,0,2.0,0.005,1,200.0,True,18654,93.27,4.999999999999938,355647.1666666667,355647.1666666667
4,4,symmetric,0,2.2,0.005,1,200.0,True,18717,93.585,4.809999999999942,430933.0,430933.0
4,4,symmetric,0,2.4,0.005,1,200.0,True,18772,93.86,4.649999999999945,515037.8,515037.8
4,4,symmetric,0,2.6,0.005,1,200.0,True,18820,94.1,4.4999999999999485,600875.3333333334,600875.3333333334
4,4,symmetric,0,0.6,0.001,1,500.0,True,47549,95.098,8.079999999999872,71695.53333333333,71695.53333333333
4,4,symmetric,0,0.8,0.001,1,500.0,True,47878,95.756,7.199999999999891,127369.46666666666,127369.46666666666
4,4,symmetric,0,1.0,0.001,1,500.0,True,48103,96.206,6.589999999999904,197032.91666666666,197032.91666666666
4,4,symmetric,0,1.2,0.001,1,500.0,True,48269,96.538,6.119999999999914,286782.1333333333,286782.1333333333
4,4,symmetric,0,1.4,0.001,1,500.0,True,48398,96.796,5.759999999999922,387466.2,387466.2
4,4,symmetric,0,1.6,0.001,1,500.0,True,48501,97.002,5.459999999999928,509477.86666666664,509477.86666666664
4,4,symmetric,0,1.8,0.001,1,500.0,True,48588,97.176,5.199999999999934,646850.2666666666,646850.2666666666
4,4,symmetric,0,2.0,0.001,1,500.0,True,48660,97.32,4.989999999999938,788131.6666666666,788131.6666666666
4,4,symmetric,0,2.2,0.001,1,500.0,True,48722,97.444,4.799999999999942,966005.6,966005.6
4,4,symmetric,0,2.4,0.001,1,500.0,True,48777,97.554,4.6399999999999455,1147128.5333333332,1147128.5333333332
4,4,symmetric,0,2.6,0.001,1,500.0,True,48826,97.652,4.489999999999949,1342453.4666666666,1342453.4666666666
4,4,symmetric,0,0.6,0.005,1,500.0,True,47548,95.096,8.109999999999872,43690666.666666664,43690666.666666664
