tick,r_mean,r_rms,r_std,KE,PE,E_total,L,collisions_total,collisions_tick,fragment_ke_mean,fragment_ke_std
31200,2.0371140829992878,2.1732947903533084,0.757216256179698,4.364608037654273e-05,-0.0009953704426583583,-0.0009517243622818156,-0.005694123381033531,2111778,,4.364608037654273e-07,3.3814497148717615e-07
31400,2.0448732347635494,2.166648052987454,0.7161405164225669,4.16716011574933e-05,-0.000991898274921999,-0.0009502266737645056,-0.00556462717313427,2121062,,4.16716011574933e-07,3.831042027740891e-07
31600,2.0208129756554047,2.1587860718615466,0.7593893740935228,4.807696223132983e-05,-0.0009907408857317305,-0.0009426639235004007,-0.005816245281210376,2130018,,4.807696223132984e-07,4.371374760445617e-07
31800,2.0924798618602303,2.2279120200159865,0.7649313672749349,5.947845352202667e-05,-0.0009907408858646426,-0.000931262432342616,-0.006655931019097184,2138160,,5.947845352202668e-07,5.512569063866431e-07
32000,2.081642223669202,2.2163775983710523,0.7609831214938819,5.469448239852697e-05,-0.0009854144066209153,-0.0009307199242223884,-0.006619893453994317,2146950,,5.469448239852698e-07,4.235189470936171e-07
32200,2.1239731288901407,2.251386470649159,0.74664528926037,5.916860136487687e-05,-0.0009877291842038992,-0.0009285605828390223,-0.007016966488490415,2155556,,5.916860136487688e-07,4.5931573544529406e-07
32400,2.106940097802543,2.238271327203598,0.7554217090166034,6.189402029644401e-05,-0.0009854144066209158,-0.0009235203863244717,-0.007179489528289083,2163338,,6.189402029644402e-07,4.549750862399512e-07
32600,2.177053947662629,2.2994111945637044,0.7400864480933594,6.236707259995535e-05,-0.0009918982749220811,-0.0009295312023221258,-0.0073803300551018025,2170596,,6.236707259995537e-07,4.1837567764295386e-07
32800,2.0850433834795514,2.2088118000716794,0.7290018224559094,6.960045807446975e-05,-0.0009842570168664396,-0.0009146565587919697,-0.00763102428405009,2179212,,6.960045807446975e-07,5.072173854546554e-07
33000,2.148340462703849,2.2742788400417218,0.7463092512966267,6.763747757779737e-05,-0.0009817057822441738,-0.0009140683046663764,-0.007665926805306957,2186944,,6.763747757779736e-07,5.604483803956295e-07
33200,2.228817327971324,2.342135917605303,0.719704088547233,7.134377637053749e-05,-0.0009842570170155503,-0.0009129132406450128,-0.008080363425289087,2194402,,7.134377637053749e-07,4.918790214919502e-07
33400,2.1501029211746348,2.2737654076485745,0.7396394779726086,6.901388711391885e-05,-0.0009872687181283657,-0.0009182548310144469,-0.0077130406249709856,2202514,,6.901388711391883e-07,4.936406208688519e-07
33600,2.217576521105872,2.3439534258734187,0.7592575555789449,7.210761318322184e-05,-0.0009847174843198518,-0.0009126098711366299,-0.008204685569631406,2209754,,7.210761318322183e-07,4.9829160622084e-07
33800,2.21616303733601,2.330044643088537,0.7195341762079244,8.516374296671004e-05,-0.000984257017666223,-0.0008990932746995129,-0.008841692224396137,2217296,,8.516374296671006e-07,5.765042705254693e-07
34000,2.2372120974574257,2.3450773251727073,0.7030431651252482,9.013688496247779e-05,-0.0009830996279581122,-0.0008929627429956345,-0.009168989182058794,2225480,,9.013688496247779e-07,6.837196136853645e-07
