[PiDrift t=207] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=208] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=209] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=210] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=211] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=212] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=213] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=214] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=215] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=216] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=217] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=218] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=219] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=220] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=221] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=222] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=223] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=224] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=225] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=226] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=227] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=228] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=229] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=230] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=231] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=232] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=233] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=234] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=235] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=236] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=237] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=238] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=239] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=240] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=241] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=242] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=243] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=244] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=245] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=246] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=247] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=248] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=249] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=250] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=251] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=252] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=253] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=254] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=255] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=256] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=257] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=258] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=259] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=260] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=261] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=262] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=263] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=264] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=265] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=266] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=267] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=268] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=269] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
