tick,alpha,G,h,Lambda,alpha_drift,G_drift,h_drift,Lambda_drift
1790,0.9645837203572097,0.9990328820116054,0,0.0,0.0019839040459894495,0.0011814623117818938,456.1238425766986,2.281860241820594e-05
1800,0.9650506879864678,0.9992114632988212,0,0.0,0.0019742382132769804,0.0011782649130218355,454.2358222222223,2.2729086296332478e-05
1810,0.9647443363039693,0.9988942077890577,0,0.0,0.001964684963384092,0.0011751007717604044,452.36156527578515,2.260892874046008e-05
1820,0.9645881645881645,0.9987325728770595,0,0.0,0.0019551975819619917,0.0011718955633299442,450.50096123656556,2.24900323913553e-05
1830,0.9642840587794717,0.9984175701132123,0,0.0,0.0019457999614910387,0.0011686906224109396,448.65389948938457,2.237237753878269e-05
1840,0.9647500294289285,0.9988999182429511,0,0.0,0.0019364976972724875,0.0011654976766874272,446.8202693761815,2.225594488011974e-05
1850,0.9643677457502102,0.997878260145566,0,0.00847457627118644,0.0019269035649140856,0.0011623023493812466,444.9999602629657,2.2201160108891477e-05
1860,0.9650590513525115,0.9986259310501677,0,0.0,0.001917884940984528,0.0011591289628302926,443.1928616024974,2.2086886061153287e-05
1870,0.9643194807348032,0.997860492737471,0,0.0,0.001908952492608771,0.0011559621675523795,441.3988629929366,2.1973780079971042e-05
1880,0.9640609832780331,0.9971341839071987,0,0.008333333333333333,0.0019000942721534573,0.0011527164790328544,439.61785423268446,2.191915669332313e-05
1890,0.9658074746234772,0.9988260272582599,0,0.0,0.0018914472467727358,0.001149602673843016,437.84972537163014,2.1808120873052106e-05
1900,0.9658049114071917,0.9988234568789239,0,0.0,0.0018828666500745265,0.0011464755590920904,436.09436675900275,2.169820213971678e-05
1910,0.9665158172548752,0.9990034397794638,0,0.0,0.00187438696271489,0.001143291493489826,434.35166908801847,2.1643810566878452e-05
1920,0.9673325737074491,0.9993103448275862,0,0.0,0.0018660618975009835,0.0011401380714135569,432.62152343750006,2.158796103309439e-05
1930,0.9667995787971859,0.9987595715474258,0,0.0,0.0018579175428005488,0.0011370685207581271,430.9038213106392,2.148091141464973e-05
1940,0.9662676760926012,0.9982099067316103,0,0.0,0.001849841517444362,0.001134001432987341,429.1984546710596,2.137491611873164e-05
1950,0.9673341512913706,0.9990498167503733,0,0.0,0.0018418262050426126,0.0011308892580935916,427.5053159763314,2.1294963084786284e-05
1960,0.9678602019320125,0.999593220338983,0,0.0,0.001833903093553472,0.0011277937679416753,425.82429820907953,2.119094244739938e-05
1970,0.9678602019320125,0.999593220338983,0,0.0,0.0018260950410191057,0.001124771562177674,424.1552949058208,2.1087931119575116e-05
1980,0.9674692878537182,0.9989314812341392,0,0.0,0.0018183571756507052,0.0011217229045839118,422.4982001836548,2.1010172607284572e-05
1990,0.9602964255069323,0.9993327105298279,0,0.0,0.0018099057431925974,0.0011187164573650329,420.8529087649302,2.0932757195503793e-05
2000,0.959910934042361,0.9989314812341392,0,0.0,0.0018013310868656223,0.001115722697405301,419.21931600000005,2.083252225719161e-05
2010,0.959784480132149,0.9987998047888562,0,0.0,0.0017928309907304261,0.0011127180948769819,417.59731788817106,2.0733240832558187e-05
2020,0.9608619618332435,0.9996062992125985,0,0.0,0.0017844018591316223,0.0011096676239828298,415.98681109695127,2.0657910034818314e-05
2030,0.9530967845961849,0.9992141318471454,0,0.0,0.0017759049796785167,0.0011066580923425522,414.3876929796889,2.0582911587813526e-05
2040,0.9535842713824728,0.9993561066405048,0,0.0,0.0017672345818343703,0.0011036607802636775,412.79986159169556,2.050825025394374e-05
2050,0.9540622424213762,0.9994935977013026,0,0.0,0.0017586586381108354,0.001100653683659457,411.22321570493756,2.043393040064681e-05
2060,0.9540602245905156,0.9994915469683489,0,0.0,0.0017501677439231006,0.001097671207995739,409.65765482137806,2.0338923432264822e-05
2070,0.953100253161847,0.9980922632267362,0,0.007575757575757576,0.001741753887126367,0.0010946500299597367,408.10307918504515,2.0265757955359792e-05
2080,0.9541702181721585,0.9992489673300788,0,0.0,0.0017334384260805258,0.00109169851741138,406.5593897928994,2.0172425839587282e-05
2090,0.947051499834759,0.9992509708339258,0,0.0,0.0017252098133677149,0.0010887271981326052,405.0264884045695,2.0100387602379138e-05
2100,0.947051499834759,0.9992509708339258,0,0.0,0.0017170578452896624,0.001085788563511294,403.5042775510204,2.0008686008731e-05
2110,0.9400363035396867,0.9992509708339258,0,0.0,0.0017093764669320435,0.0010828108681135847,401.9926605422161,1.9937748734379885e-05
2120,0.9408308075579735,0.9996325875316233,0,0.0,0.0017018165649385982,0.001079885325759724,400.49154147383416,1.986713934987101e-05
2130,0.9408289110919958,0.999630632849052,0,0.0,0.0016942895134362443,0.0010770038205228753,399.0008252330887,1.977777313151373e-05
2140,0.9414666979822668,0.9994029850746269,0,0.0,0.001686800523615017,0.001074047748743995,397.52041750371205,1.9726916191663637e-05
2150,0.9344734672146657,0.9991675143958413,0,0.0,0.0016798846968844186,0.0010711659691415472,396.05022477014603,1.9657307686515757e-05
2160,0.9342202927858846,0.9983799463834959,0,0.007194244604316547,0.0016732741603182736,0.0010682555912316053,394.59015432098766,1.9588037637842387e-05
2170,0.9352744058267314,0.9995297989890678,0,0.0,0.0016666276837813043,0.0010653922948613214,393.14011425173607,1.950157623895612e-05
2180,0.9353844556606185,0.9996474321306852,0,0.0,0.0016600369092377048,0.0010625295990633553,391.7000134668799,1.9415873306145e-05
2190,0.9346338684604051,0.9983301285755496,0,0.007142857142857143,0.0016535087760001382,0.0010596480527385174,390.2697616813661,1.9348344731870235e-05
2200,0.9364062665643141,0.9997720537953043,0,0.0,0.0016469086925790504,0.0010567961265712982,388.84926942148763,1.928114229638135e-05
2210,0.9364062665643141,0.9997720537953043,0,0.0,0.0016403327768624147,0.0010539854295648161,387.43844802522466,1.919755243747622e-05
2220,0.9367473171118301,0.9996631106120157,0,0.0,0.0016337902161209993,0.0010511512976495128,386.0372096420745,1.9131348561684965e-05
2230,0.9370851229158377,0.9995573752351444,0,0.0,0.001627243941326578,0.0010483206282784797,384.6454672323996,1.9065466538681122e-05
2240,0.9307255412193517,0.9996681048788583,0,0.0,0.0016209971277443985,0.001045531346425491,383.2631345663265,1.8999907822572865e-05
2250,0.9243507087452465,0.9996681048788583,0,0.0,0.0016165791701742383,0.0010427501674681522,381.89012622222225,1.8934673678551876e-05
2260,0.9244636506372936,0.9992363080951342,0,0.00684931506849315,0.0016119215985928056,0.0010399468303817687,380.5263575847756,1.8869765192772892e-05
2270,0.9249684606819447,0.9997820401046208,0,0.0,0.0016075740867073712,0.0010371598773229963,379.1717448427099,1.879013018054408e-05
