[Constants t=1770] α=0.9716 (drift=0.002004), G=0.9979 (drift=0.001188), h=0, Λ=0.0000 (drift=0.000023)
[Constants t=1780] α=0.9640 (drift=0.001994), G=0.9984 (drift=0.001185), h=0, Λ=0.0000 (drift=0.000023)
[Constants t=1790] α=0.9646 (drift=0.001984), G=0.9990 (drift=0.001181), h=0, Λ=0.0000 (drift=0.000023)
[Constants t=1800] α=0.9651 (drift=0.001974), G=0.9992 (drift=0.001178), h=0, Λ=0.0000 (drift=0.000023)
[Constants t=1810] α=0.9647 (drift=0.001965), G=0.9989 (drift=0.001175), h=0, Λ=0.0000 (drift=0.000023)
[Constants t=1820] α=0.9646 (drift=0.001955), G=0.9987 (drift=0.001172), h=0, Λ=0.0000 (drift=0.000022)
[Constants t=1830] α=0.9643 (drift=0.001946), G=0.9984 (drift=0.001169), h=0, Λ=0.0000 (drift=0.000022)
[Constants t=1840] α=0.9648 (drift=0.001936), G=0.9989 (drift=0.001165), h=0, Λ=0.0000 (drift=0.000022)
[Constants t=1850] α=0.9644 (drift=0.001927), G=0.9979 (drift=0.001162), h=0, Λ=0.0085 (drift=0.000022)
[Constants t=1860] α=0.9651 (drift=0.001918), G=0.9986 (drift=0.001159), h=0, Λ=0.0000 (drift=0.000022)
[Constants t=1870] α=0.9643 (drift=0.001909), G=0.9979 (drift=0.001156), h=0, Λ=0.0000 (drift=0.000022)
[Constants t=1880] α=0.9641 (drift=0.001900), G=0.9971 (drift=0.001153), h=0, Λ=0.0083 (drift=0.000022)
[Constants t=1890] α=0.9658 (drift=0.001891), G=0.9988 (drift=0.001150), h=0, Λ=0.0000 (drift=0.000022)
[Constants t=1900] α=0.9658 (drift=0.001883), G=0.9988 (drift=0.001146), h=0, Λ=0.0000 (drift=0.000022)
[Constants t=1910] α=0.9665 (drift=0.001874), G=0.9990 (drift=0.001143), h=0, Λ=0.0000 (drift=0.000022)
[Constants t=1920] α=0.9673 (drift=0.001866), G=0.9993 (drift=0.001140), h=0, Λ=0.0000 (drift=0.000022)
[Constants t=1930] α=0.9668 (drift=0.001858), G=0.9988 (drift=0.001137), h=0, Λ=0.0000 (drift=0.000021)
[Constants t=1940] α=0.9663 (drift=0.001850), G=0.9982 (drift=0.001134), h=0, Λ=0.0000 (drift=0.000021)
[Constants t=1950] α=0.9673 (drift=0.001842), G=0.9990 (drift=0.001131), h=0, Λ=0.0000 (drift=0.000021)
[Constants t=1960] α=0.9679 (drift=0.001834), G=0.9996 (drift=0.001128), h=0, Λ=0.0000 (drift=0.000021)
[Constants t=1970] α=0.9679 (drift=0.001826), G=0.9996 (drift=0.001125), h=0, Λ=0.0000 (drift=0.000021)
[Constants t=1980] α=0.9675 (drift=0.001818), G=0.9989 (drift=0.001122), h=0, Λ=0.0000 (drift=0.000021)
[Constants t=1990] α=0.9603 (drift=0.001810), G=0.9993 (drift=0.001119), h=0, Λ=0.0000 (drift=0.000021)
[Constants t=2000] α=0.9599 (drift=0.001801), G=0.9989 (drift=0.001116), h=0, Λ=0.0000 (drift=0.000021)
[Constants t=2010] α=0.9598 (drift=0.001793), G=0.9988 (drift=0.001113), h=0, Λ=0.0000 (drift=0.000021)
[Constants t=2020] α=0.9609 (drift=0.001784), G=0.9996 (drift=0.001110), h=0, Λ=0.0000 (drift=0.000021)
[Constants t=2030] α=0.9531 (drift=0.001776), G=0.9992 (drift=0.001107), h=0, Λ=0.0000 (drift=0.000021)
[Constants t=2040] α=0.9536 (drift=0.001767), G=0.9994 (drift=0.001104), h=0, Λ=0.0000 (drift=0.000021)
[Constants t=2050] α=0.9541 (drift=0.001759), G=0.9995 (drift=0.001101), h=0, Λ=0.0000 (drift=0.000020)
[Constants t=2060] α=0.9541 (drift=0.001750), G=0.9995 (drift=0.001098), h=0, Λ=0.0000 (drift=0.000020)
[Constants t=2070] α=0.9531 (drift=0.001742), G=0.9981 (drift=0.001095), h=0, Λ=0.0076 (drift=0.000020)
[Constants t=2080] α=0.9542 (drift=0.001733), G=0.9992 (drift=0.001092), h=0, Λ=0.0000 (drift=0.000020)
[Constants t=2090] α=0.9471 (drift=0.001725), G=0.9993 (drift=0.001089), h=0, Λ=0.0000 (drift=0.000020)
[Constants t=2100] α=0.9471 (drift=0.001717), G=0.9993 (drift=0.001086), h=0, Λ=0.0000 (drift=0.000020)
[Constants t=2110] α=0.9400 (drift=0.001709), G=0.9993 (drift=0.001083), h=0, Λ=0.0000 (drift=0.000020)
[Constants t=2120] α=0.9408 (drift=0.001702), G=0.9996 (drift=0.001080), h=0, Λ=0.0000 (drift=0.000020)
[Constants t=2130] α=0.9408 (drift=0.001694), G=0.9996 (drift=0.001077), h=0, Λ=0.0000 (drift=0.000020)
[Constants t=2140] α=0.9415 (drift=0.001687), G=0.9994 (drift=0.001074), h=0, Λ=0.0000 (drift=0.000020)
[Constants t=2150] α=0.9345 (drift=0.001680), G=0.9992 (drift=0.001071), h=0, Λ=0.0000 (drift=0.000020)
[Constants t=2160] α=0.9342 (drift=0.001673), G=0.9984 (drift=0.001068), h=0, Λ=0.0072 (drift=0.000020)
